date,信号数,次日收涨率,可盈利卖出率,平均最大可卖收益,平均次日收盘收益,次日大盘涨跌
2026-01-14,48.0,0.25,0.6875,0.017939278816659035,-0.015528613440426242,-0.003269439105787697
2026-01-15,45.0,0.6666666666666666,0.9555555555555556,0.04606912668588941,0.016382148864429718,-0.0025993288916987822
2026-01-16,95.0,0.4421052631578947,0.8421052631578947,0.027768471028264248,0.00046713302427295236,0.002947407427271731
2026-01-19,74.0,0.2702702702702703,0.8108108108108109,0.022899414296636496,-0.01072931789956515,-8.507535245516618e-05
2026-01-20,29.0,0.6206896551724138,0.8275862068965517,0.04143493875523359,0.016492935381831015,0.0007997763543325931
2026-01-21,108.0,0.37962962962962965,0.9166666666666666,0.0320538313001315,0.0023850239683251406,0.0013699495256185301
2026-01-22,56.0,0.4642857142857143,0.6785714285714286,0.03242695450879218,0.012425357759815224,0.003294053723639001
2026-01-23,156.0,0.23717948717948717,0.7948717948717948,0.025415909483964615,-0.021876481146432612,-0.0008582840122239865
2026-01-26,51.0,0.17647058823529413,0.47058823529411764,0.004986071285526828,-0.024064873895598107,0.001764018380636001
2026-01-27,90.0,0.4,0.7555555555555555,0.029066791916466952,-0.004359803984373771,0.00273919659895161
2026-01-28,66.0,0.2878787878787879,0.7878787878787878,0.03373283557255223,-0.018014676355094184,0.0016236112583227769
2026-01-29,18.0,0.05555555555555555,0.2777777777777778,-0.00212264709929521,-0.040081978724573565,-0.009627270934444043
2026-01-30,33.0,0.12121212121212122,0.6666666666666666,0.01153337675595588,-0.041109040473152815,-0.024818174091477463
2026-02-02,5.0,1.0,1.0,0.06149598411108333,0.06028786655371441,0.01294652306542976
2026-02-03,100.0,0.39,0.69,0.023030575582010878,-0.007737852960648871,0.008471534562189298
2026-02-04,21.0,0.38095238095238093,0.6666666666666666,0.0229469395520907,-0.01222346041248785,-0.006406318560772228
2026-02-05,26.0,0.34615384615384615,0.6538461538461539,0.020957600223192742,-0.013160681276353246,-0.0025368505760663407
2026-02-06,7.0,0.8571428571428571,1.0,0.04206086702011823,0.029143126637152843,0.01414558316402581
2026-02-09,62.0,0.3064516129032258,0.7419354838709677,0.02784873652582027,-0.0014186144877294472,0.0012805929533432625
2026-02-10,47.0,0.3617021276595745,0.7872340425531915,0.02424955023715372,-0.004354264600313175,0.0008744371265172468
2026-02-11,16.0,0.5,0.8125,0.020078614064086377,0.0024442237446065523,0.0004937100373187953
2026-02-12,51.0,0.2549019607843137,0.7058823529411765,0.01973446865858757,-0.011446205353908442,-0.012566460733136386
2026-02-13,14.0,0.21428571428571427,0.6428571428571429,0.0038895649924383102,-0.036478372796010135,0.008657372362551374
2026-02-24,62.0,0.6774193548387096,0.9032258064516129,0.03619365238739398,0.02016952199940841,0.007242416956290354
2026-02-25,74.0,0.5405405405405406,0.9054054054054054,0.02860050914614717,0.011545526843019254,-0.00014467487937719348
2026-02-26,113.0,0.34513274336283184,0.584070796460177,0.015484650607652781,0.002226550802511325,0.003918844941555033
2026-02-27,108.0,0.2962962962962963,0.6944444444444444,0.022256817638307447,-0.007916598166492483,0.0047347028979936034
2026-03-02,59.0,0.15254237288135594,0.6101694915254238,0.013592633379619537,-0.05078211048811475,-0.014323660698275398
2026-03-03,10.0,0.1,0.3,-0.015344086188181328,-0.05805187963418294,-0.009753364316415603
2026-03-04,29.0,0.41379310344827586,0.8275862068965517,0.024797341131835647,-0.003422352636177153,0.006393188437392006
2026-03-05,25.0,0.56,0.84,0.027821733046567244,0.006812021007235929,0.0038018093886680315
